Idx,Ratio,Train,Val,Stuff,"Color_Code (R,G,B)",Color_Code(hex),Color,Name
1,0.1576,11664,1172,1,"(120, 120, 120)",#787878,,wall
2,0.1072,6046,612,1,"(180, 120, 120)",#B47878,,building;edifice
3,0.0878,8265,796,1,"(6, 230, 230)",#06E6E6,,sky
4,0.0621,9336,917,1,"(80, 50, 50)",#503232,,floor;flooring
5,0.048,6678,641,0,"(4, 200, 3)",#04C803,,tree
6,0.045,6604,643,1,"(120, 120, 80)",#787850,,ceiling
7,0.0398,4023,408,1,"(140, 140, 140)",#8C8C8C,,road;route
8,0.0231,1906,199,0,"(204, 5, 255)",#CC05FF,,bed
9,0.0198,4688,460,0,"(230, 230, 230)",#E6E6E6,,windowpane;window
10,0.0183,2423,225,1,"(4, 250, 7)",#04FA07,,grass
11,0.0181,2874,294,0,"(224, 5, 255)",#E005FF,,cabinet
12,0.0166,3068,310,1,"(235, 255, 7)",#EBFF07,,sidewalk;pavement
13,0.016,5075,526,0,"(150, 5, 61)",#96053D,,person;individual;someone;somebody;mortal;soul
14,0.0151,1804,190,1,"(120, 120, 70)",#787846,,earth;ground
15,0.0118,6666,796,0,"(8, 255, 51)",#08FF33,,door;double;door
16,0.011,4269,411,0,"(255, 6, 82)",#FF0652,,table
17,0.0109,1691,160,1,"(143, 255, 140)",#8FFF8C,,mountain;mount
18,0.0104,3999,441,0,"(204, 255, 4)",#CCFF04,,plant;flora;plant;life
19,0.0104,2149,217,0,"(255, 51, 7)",#FF3307,,curtain;drape;drapery;mantle;pall
20,0.0103,3261,318,0,"(204, 70, 3)",#CC4603,,chair
21,0.0098,3164,306,0,"(0, 102, 200)",#0066C8,,car;auto;automobile;machine;motorcar
22,0.0074,709,75,1,"(61, 230, 250)",#3DE6FA,,water
23,0.0067,3296,315,0,"(255, 6, 51)",#FF0633,,painting;picture
24,0.0065,1191,106,0,"(11, 102, 255)",#0B66FF,,sofa;couch;lounge
25,0.0061,1516,162,0,"(255, 7, 71)",#FF0747,,shelf
26,0.006,667,69,1,"(255, 9, 224)",#FF09E0,,house
27,0.0053,651,57,1,"(9, 7, 230)",#0907E6,,sea
28,0.0052,1847,224,0,"(220, 220, 220)",#DCDCDC,,mirror
